广东频道,#genre#
广东珠江,http://125.89.163.44:8888/rtp/239.77.0.1:5146$1920x1080
广东珠江,http://14.145.234.231:8888/rtp/239.77.0.1:5146$1920x1080
广东珠江,http://220.173.25.19:4022/rtp/239.81.0.104:4056$1920x1080
广东珠江,http://202.103.213.173:8888/rtp/239.81.0.104:4056$1920x1080
广东珠江,http://14.19.179.71:4022/rtp/239.77.0.1:5146$1920x1080
广东珠江,http://116.18.36.100:4000/rtp/239.77.0.1:5146$1920x1080
广东珠江,http://116.22.59.251:4022/rtp/239.77.0.1:5146$1920x1080
广东珠江,http://218.18.4.142:8888/rtp/239.77.0.1:5146$1920x1080
广东珠江,https://skype.serv00.net/itouch.php?id=gdzj$1920x1080
广东珠江,http://183.237.246.14:32/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://218.20.124.161:4022/rtp/239.77.0.1:5146
广东珠江,http://183.7.123.15:4022/rtp/239.77.0.1:5146
广东珠江,http://113.83.248.53:4200/rtp/239.77.0.1:5146
广东珠江,http://116.18.36.100:4000/rtp/239.77.0.1:5146
广东珠江,http://113.119.63.22:8090/rtp/239.77.0.1:5146
广东体育,http://202.103.213.173:8888/rtp/239.81.0.104:4056$1920x1080
广东体育,http://116.1.30.105:8181/rtp/239.81.0.104:4056$1920x1080
广东体育,http://220.173.25.19:4022/rtp/239.81.0.104:4056$1920x1080
广东体育,https://skype.serv00.net/itouch.php?id=gdty$1920x1080
广东体育,http://125.89.163.44:8888/rtp/239.77.0.6:5146$720x576
广东体育,http://116.22.59.251:4022/rtp/239.77.0.6:5146$720x576
广东体育,http://218.18.4.142:8888/rtp/239.77.0.6:5146$720x576
广东体育,http://14.19.179.71:4022/rtp/239.77.0.6:5146$720x576
广东体育,http://183.237.246.14:32/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://218.20.124.161:4022/rtp/239.77.0.6:5146
广东体育,http://183.7.123.15:4022/rtp/239.77.0.6:5146
广东体育,http://113.83.248.53:4200/rtp/239.77.0.6:5146
广东体育,http://116.18.36.100:4000/rtp/239.77.0.6:5146
广东体育,http://113.119.63.22:8090/rtp/239.77.0.6:5146
广东体育,http://113.93.51.38:2000/rtp/239.77.0.6:5146
广东新闻,http://116.1.30.105:8181/rtp/239.81.0.104:4056$1920x1080
广东新闻,http://202.103.213.173:8888/rtp/239.81.0.104:4056$1920x1080
广东新闻,https://skype.serv00.net/itouch.php?id=gdxw$1920x1080
广东新闻,http://220.173.25.19:4022/rtp/239.81.0.104:4056$1920x1080
广东新闻,http://125.89.163.44:8888/rtp/239.77.0.4:5146$720x576
广东新闻,http://14.145.234.231:8888/rtp/239.77.0.4:5146$720x576
广东新闻,http://218.18.4.142:8888/rtp/239.77.0.4:5146$720x576
广东新闻,http://14.19.179.71:4022/rtp/239.77.0.4:5146$720x576
广东新闻,http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8
广东新闻,http://183.237.246.14:32/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
广东新闻,http://218.20.124.161:4022/rtp/239.77.0.4:5146
广东新闻,http://183.7.123.15:4022/rtp/239.77.0.4:5146
广东新闻,http://113.83.248.53:4200/rtp/239.77.0.4:5146
广东新闻,http://116.18.36.100:4000/rtp/239.77.0.4:5146
广东新闻,http://113.119.63.22:8090/rtp/239.77.0.4:5146
广东卫视,http://171.120.200.185:8003/rtp/226.0.1.149:3078$1920x1080
广东卫视,http://27.10.213.42:8004/rtp/225.0.4.84:7980$1920x1080
广东卫视,http://171.213.207.3:5555/rtp/239.93.0.181:5140$1920x1080
