湖北公共新闻,rtp://239.69.1.40:9880
湖北经视,rtp://239.69.1.41:9886
湖北综合,rtp://239.69.1.42:9892
湖北垄上,rtp://239.69.1.43:9898
湖北影视,rtp://239.69.1.204:10866
湖北生活,rtp://239.69.1.205:10872
湖北教育,rtp://239.69.1.206:10878
CCTV1,rtp://239.254.96.96:8550
CCTV2,rtp://239.69.1.102:10250
CCTV3,rtp://239.69.1.122:10370
CCTV4,rtp://239.69.1.138:10466
CCTV5,rtp://239.69.1.123:10376
CCTV5+,rtp://239.69.1.12:9712
CCTV6,rtp://239.69.1.124:10382
CCTV7,rtp://239.69.1.103:10256
CCTV8,rtp://239.69.1.125:10388
CCTV9,rtp://239.69.1.104:10262
CCTV10,rtp://239.69.1.105:10268
CCTV11,rtp://239.69.1.154:10560
CCTV12,rtp://239.69.1.106:10274
CCTV13,rtp://239.254.96.161:9040
CCTV14,rtp://239.69.1.107:10280
CCTV15,rtp://239.69.1.155:10566
CCTV16,rtp://239.69.1.247:11124
CCTV17,rtp://239.69.1.152:10548
CCTV第一剧场,rtp://239.69.1.74:10084
CCTV兵器科技,rtp://239.69.1.79:10114
CCTV风云足球,rtp://239.69.1.81:10126
CCTV高尔夫网球,rtp://239.69.1.83:10138
CCTV世界地理,rtp://239.69.1.91:10186
CCTV央视台球,rtp://239.69.1.98:10224
中文国际欧洲,rtp://239.69.1.231:11028
中文国际美洲,rtp://239.69.1.232:11034
CGTN记录片,rtp://239.69.1.233:11040
CGTN西班牙语,rtp://239.69.1.234:11046
CGTN法语,rtp://239.69.1.235:11052
CCTV16奥林匹克-4K,rtp://239.69.1.249:11136
BestTV测试1-4K,rtp://239.69.1.26:9796
BestTV测试2-4K,rtp://239.69.1.27:9802
BestTV测试3-4K,rtp://239.69.1.25:9790
爱上4K,rtp://239.69.1.141:10482
湖北卫视,rtp://239.254.96.115:8664
河北卫视,rtp://239.69.1.157:10578
深圳卫视,rtp://239.254.96.137:8896
黑龙江卫视,rtp://239.254.96.138:8902
湖南卫视,rtp://239.254.96.139:8908
广东卫视,rtp://239.254.96.140:8914
北京卫视,rtp://239.254.96.141:8920
东方卫视,rtp://239.69.1.173:10674
浙江卫视,rtp://239.254.96.143:8932
江苏卫视,rtp://239.69.1.174:10680
天津卫视,rtp://239.69.1.68:10048
山东卫视,rtp://239.69.1.69:10054
安徽卫视,rtp://239.69.1.70:10060
辽宁卫视,rtp://239.69.1.71:10066
东南卫视,rtp://239.69.1.108:10286
江西卫视,rtp://239.69.1.126:10394
重庆卫视,rtp://239.69.1.149:10530
贵州卫视,rtp://239.69.1.150:10536
海南卫视,rtp://239.69.1.151:10542
河南卫视,rtp://239.69.1.168:10644
四川卫视,rtp://239.69.1.169:10650
广西卫视,rtp://239.69.1.191:10788
吉林卫视,rtp://239.69.1.212:10914
CHC-高清电影,rtp://239.69.1.241:11088
CHC-动作电影,rtp://239.69.1.242:11094
CHC-家庭影院,rtp://239.69.1.243:11100
武汉一台新闻综合,rtp://239.69.1.145:10506
武汉二台电视剧,rtp://239.69.1.146:10512
武汉三台科技生活,rtp://239.69.1.251:11148
武汉四台经济,rtp://239.69.1.35:9850
武汉五台文体,rtp://239.69.1.147:10518
武汉六台外语,rtp://239.69.1.36:9856
武汉教育,rtp://239.69.1.60:9994
蔡甸综合,rtp://239.69.1.245:11112
阳新综合,rtp://239.69.1.34:9844
房县综合,rtp://239.69.1.192:10794
卡酷少儿,rtp://239.69.1.193:10800
梨园频道,rtp://239.69.1.33:9838
武术世界,rtp://239.69.1.47:9922
快乐垂钓,rtp://239.69.1.142:10488
茶频道,rtp://239.69.1.144:10500
金鹰卡通,rtp://239.69.1.248:11130
金鹰纪实,rtp://239.69.1.109:10292
CETV1,rtp://239.69.1.110:10298
CCTV16-4K,rtp://239.69.1.13:9718
