广东频道,#genre#
珠江,http://ci.emdoor.tech:8080/touchtv.php?pk=2513
珠江,http://171.110.43.119:8181/tsfile/live/1003_1.m3u8
珠江,http://219.135.208.218:8083/tsfile/live/0017_1.m3u8
珠江,http://120.197.112.28:9901/tsfile/live/1019_1.m3u8
珠江,http://218.17.205.210:9901/tsfile/live/1000_1.m3u8
珠江,http://gmxw.7766.org:808/hls/83/index.m3u8
珠江,http://183.238.248.83:9000/udp/239.20.0.64:3144
珠江,http://218.13.170.98:9901/tsfile/live/1000_1.m3u8
珠江,https://skype.serv00.net/itouch.php?id=gdzj
珠江,http://113.101.9.182:808/hls/55/index.m3u8
珠江,http://58.248.84.148:8888/newlive/live/hls/45/live.m3u8
珠江,http://61.140.201.112:8028/udp/239.77.0.1:5146
珠江,http://61.140.201.112:8028/udp/239.77.0.114:5146
开平综合,http://ci.emdoor.tech:8080/touchtv.php?pk=2405
开平综合,https://skype.serv00.net/itouch.php?id=kpzh
开平生活,http://ci.emdoor.tech:8080/touchtv.php?pk=2406
开平生活,https://skype.serv00.net/itouch.php?id=kpsh
江门综合,http://www.namewee.xyz/gudou.php?id=jiangmenzongheHD
江门综合,http://yzfvip.top:8000/rtp/239.77.0.201:5146
江门综合,http://125.92.140.226:8888/udp/239.77.0.201:5146
江门综合,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18998910474&ptoken=SZESNUL4i2PcZZKV1JA9jw%3D%3D&pserialnumber=63eee104cf9602bf&cid=860&id=3712_1500
江门侨乡生活,http://www.namewee.xyz/gudou.php?id=jiangmenyitao_1500
江门侨乡生活,http://yzfvip.top:8000/rtp/239.77.0.202:5146
江门侨乡生活,http://suixiaobin.dsmynas.net:5666/gudou.php?phone=18998910474&ptoken=SZESNUL4i2PcZZKV1JA9jw%3D%3D&pserialnumber=63eee104cf9602bf&cid=860&id=jiangmenyitao_1500
广东体育,http://gmxw.7766.org:808/hls/2/index.m3u8
广东体育,http://api2.52tb.xyz/info?id=414&token=20230326xflvzc
广东体育,http://219.135.208.218:8083/tsfile/live/1000_1.m3u8
广东体育,http://58.248.84.148:8888/newlive/live/hls/48/live.m3u8
广东体育,http://r.jdshipin.com/LiYdg
广东体育,http://jyjxy.7766.org:8811/hls/18/index.m3u8
广东体育,http://218.13.170.98:9901/tsfile/live/0019_1.m3u8
广东体育,https://skype.serv00.net/itouch.php?id=gdty
广东新闻,http://ci.emdoor.tech:8080/touchtv.php?pk=2512
广东新闻,http://58.248.84.148:8888/newlive/live/hls/46/live.m3u8
广东新闻,http://gmxw.7766.org:808/hls/5/index.m3u8
广东新闻,http://183.238.248.83:9000/udp/239.21.0.93:3712
广东新闻,https://skype.serv00.net/itouch.php?id=gdxw
广东新闻,http://113.86.204.95:9999/udp/239.77.0.173:5146
广东新闻,http://113.101.119.52:808/hls/106/index.m3u8
广东卫视,http://php.jdshipin.com:8880/bst.php?id=gdwshd/4000000
广东卫视,http://58.248.84.148:8888/newlive/live/hls/19/live.m3u8
广东卫视,http://60.211.167.226:8888/newlive/live/hls/21/live.m3u8
广东卫视,http://60.208.113.114:8001/newlive/live/hls/30/live.m3u8
广东卫视,http://125.210.152.19:9123/live/hzgq-gdwsgq-h264.m3u8
广东卫视,http://222.189.51.62:8888/newlive/live/hls/21/live.m3u8
广东卫视,http://222.188.68.38:8888/newlive/live/hls/43/live.m3u8
广东卫视,http://111.207.22.10:8888/newlive/live/hls/21/live.m3u8
广东卫视,http://1.30.18.218:20080/hls/59/index.m3u8
广东卫视,http://gxft.7766.org:9901/tsfile/live/0125_1.m3u8
广东卫视,http://113.101.119.52:808/hls/152/index.m3u8
广东卫视,http://219.135.208.218:8083/tsfile/live/0016_1.m3u8
广东卫视,http://14.29.76.30:9901/tsfile/live/0125_1.m3u8
广东卫视,http://58.19.38.233:8888/newlive/live/hls/21/live.m3u8
广东卫视,http://36.96.38.246:8888/newlive/live/hls/21/live.m3u8
大湾区卫视,http://gmxw.7766.org:808/hls/132/index.m3u8
大湾区卫视,https://epg.pw/stream/255a4080ec98d7fdd51588ebc7d2c56a78e5e0cd46492f502e2cad43c7a28dc7.m3u8
大湾区卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
大湾区卫视,http://ci.emdoor.tech:8080/touchtv.php?pk=1191
大湾区卫视,https://epg.pw/stream/fef2b0a1b538aec733fe12fd7ce2027a199d8f6f0f3a64753063d04777744b47.m3u8
大湾区卫视,http://skype.serv00.net/itouch.php?id=gdgj
大湾区卫视,http://183.238.248.83:9000/udp/239.21.0.84:3676
大湾区卫视,https://skype.serv00.net/itouch.php?id=nfws
大湾区卫视,http://58.248.84.148:8888/newlive/live/hls/47/live.m3u8
大湾区卫视,http://38.64.72.148/hls/modn/list/4011/chunklist0.m3u8
新会综合,http://ci.emdoor.tech:8080/touchtv.php?pk=2490
新会综合,https://skype.serv00.net/itouch.php?id=xhzh
鹤山综合,https://skype.serv00.net/itouch.php?id=hszh
鹤山综合,http://ci.emdoor.tech:8080/touchtv.php?pk=2441
广州综合,http://www.namewee.xyz/gudou.php?id=gzhounewsHD
广州综合,https://justsometime.gztv.com/sec/zhonghe.m3u8
广州新闻,http://www.namewee.xyz/gudou.php?id=gzhouzongheHD
广州新闻,https://justsometime.gztv.com/sec/xinwen.m3u8
广州竞赛,http://www.namewee.xyz/gudou.php?id=gzfilmsgaoqing
广州影视,https://justsometime.gztv.com/sec/yingshi.m3u8
广州影视,http://www.namewee.xyz/gudou.php?id=gzcompetitiongaoqing
佛山综合,http://www.namewee.xyz/gudou.php?id=foshanzongheHD_4500
佛山公共,http://www.namewee.xyz/gudou.php?id=foshangonggongHD_4500
佛山影视,http://www.namewee.xyz/gudou.php?id=foshanyingshiHD_4500
顺德综合,http://www.namewee.xyz/gudou.php?id=shundeHD_4500
珠海,http://113.86.204.95:9999/udp/239.77.0.155:5146
深圳卫视,http://60.208.113.114:8001/newlive/live/hls/27/live.m3u8
深圳卫视,http://60.211.167.226:8888/newlive/live/hls/28/live.m3u8
深圳卫视,http://125.210.152.19:9123/live/hzgq-szwsgq-h264.m3u8
深圳卫视,http://222.188.68.38:8888/newlive/live/hls/45/live.m3u8
深圳卫视,http://222.189.51.62:8888/newlive/live/hls/28/live.m3u8
深圳卫视,http://58.220.219.14:9901/tsfile/live/0126_1.m3u8?key=txiptv
深圳卫视,http://111.207.22.10:8888/newlive/live/hls/28/live.m3u8
深圳卫视,http://php.jdshipin.com:8880/bst.php?id=szwshd/4000000
深圳卫视,http://36.96.38.246:8888/newlive/live/hls/28/live.m3u8
深圳卫视,http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292203.m3u8
深圳卫视,http://101.71.176.182:8888/newlive/live/hls/28/live.m3u8
深圳卫视,http://222.173.147.142:8888/newlive/live/hls/35/live.m3u8
深圳卫视,https://epg.pw/stream/f71ce2c8d3869cd398598fccaa3ae45c79fc432743b033a33f58b7b2abd51c41.m3u8

央视频道,#genre#
CCTV1,http://php.jdshipin.com:8880/bst.php?id=cctv11hd8m/8000000
CCTV1,http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575503.m3u8
CCTV1,http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575103.m3u8
CCTV1,http://php.jdshipin.com:8880/bst.php?id=cctv15hd8m/8000000
CCTV1,http://php.jdshipin.com:8880/bst.php?id=cctv16hd8m/8000000
CCTV1,http://php.jdshipin.com:8880/bst.php?id=cctvsehd/4000000
CCTV1,http://php.jdshipin.com:8880/bst.php?id=cctv17hd8m/8000000
CCTV1,http://php.jdshipin.com:8880/bst.php?id=cctv16hd4k8m/15000000
CCTV1,http://php.jdshipin.com:8880/bst.php?id=cctv12hd8m/8000000
CCTV1,http://60.208.113.114:8001/newlive/live/hls/17/live.m3u8
CCTV1,http://60.211.167.226:8888/newlive/live/hls/15/live.m3u8
CCTV1,http://60.211.167.226:8888/newlive/live/hls/13/live.m3u8
CCTV1,http://60.208.113.114:8001/newlive/live/hls/16/live.m3u8
CCTV1,http://60.211.167.226:8888/newlive/live/hls/14/live.m3u8
CCTV1,http://60.211.167.226:8888/newlive/live/hls/2/live.m3u8
CCTV2,http://60.208.113.114:8001/newlive/live/hls/2/live.m3u8
CCTV2,http://php.jdshipin.com:8880/bst.php?id=cctv2hd8m/8000000
CCTV2,http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576703.m3u8
CCTV2,http://222.173.147.142:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://125.210.152.19:9123/live/hzgq-cctv2gq-h264.m3u8
CCTV2,http://222.188.68.38:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://qdxiehou.7766.org:9901/tsfile/live/0002_1.m3u8
CCTV2,http://111.207.22.10:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://14.29.76.30:9901/tsfile/live/1008_1.m3u8
CCTV2,http://171.108.239.31:8181/tsfile/live/0002_1.m3u8
CCTV2,http://36.96.38.246:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://220.163.178.144:8888/tsfile/live/0002_1.m3u8
CCTV2,http://58.19.38.233:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://60.211.222.154:9901/tsfile/live/0002_1.m3u8
CCTV2,http://60.211.167.226:8888/newlive/live/hls/3/live.m3u8
CCTV3,http://60.208.113.114:8001/newlive/live/hls/3/live.m3u8
CCTV3,http://222.188.68.38:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://php.jdshipin.com:8880/bst.php?id=cctv38m/8000000
CCTV3,http://60.211.167.226:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://101.71.176.182:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://222.173.147.142:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://58.248.84.148:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://111.207.22.10:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://221.2.146.228:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://112.6.117.141:9901/tsfile/live/0003_1.m3u8
CCTV3,http://123.170.147.53:5000/udp/239.21.1.3:5002
CCTV3,http://125.210.152.19:9123/live/hzgq-cctv3gq-h264.m3u8
CCTV3,http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576503.m3u8
CCTV3,http://58.19.38.233:8888/newlive/live/hls/4/live.m3u8
CCTV3,http://36.96.38.246:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://php.jdshipin.com:8880/bst.php?id=cctv4hd/4000000
CCTV4,http://60.211.167.226:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://58.248.84.148:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://222.173.147.142:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://222.189.51.62:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://222.188.68.38:8888/newlive/live/hls/5/live.m3u8
CCTV4,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV4,http://111.207.22.10:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://101.71.176.182:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://125.210.152.19:9123/live/hzgq-cctv4gq-h264.m3u8
CCTV4,https://turkmedya-live.ercdn.net/tv4/tv4_720p.m3u8
CCTV4,https://epg.pw/stream/14061ea886df6edfb76d8015ef8df852acbce8d4d862909db2279d3b3387cd9c.m3u8
CCTV4,https://live.goodiptv.club/api/cqyx.php?id=CCTV4K
CCTV4,http://36.96.38.246:8888/newlive/live/hls/5/live.m3u8
CCTV4,http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576603.m3u8
CCTV5,http://php.jdshipin.com:8880/bst.php?id=cctv5hd/4000000
CCTV5,http://php.jdshipin.com:8880/bst.php?id=cctv5phd/4000000
CCTV5,http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576303.m3u8
CCTV5,http://60.208.113.114:8001/newlive/live/hls/5/live.m3u8
CCTV5,http://60.211.167.226:8888/newlive/live/hls/6/live.m3u8
CCTV5,http://101.71.176.182:8888/newlive/live/hls/6/live.m3u8
CCTV5,http://58.248.84.148:8888/newlive/live/hls/6/live.m3u8
CCTV5,http://222.173.147.142:8888/newlive/live/hls/6/live.m3u8
CCTV5,http://125.210.152.19:9123/live/hzgq-cctv5gq-h264.m3u8
CCTV5,http://222.189.51.62:8888/newlive/live/hls/5/live.m3u8
CCTV5,http://222.188.68.38:8888/newlive/live/hls/6/live.m3u8
CCTV5,http://221.210.64.165:2233/hls/12/index.m3u8
